climb_name,race,stage,year,start_distance,end_distance,summit,length,time_climbed,gradient,model_category
Sitio da Picota,volta ao algarva em bicicleta,1,2017,19.1,22.4,320,3.3,1,0.048484848,1.31
Eirinhas,volta ao algarva em bicicleta,2,2017,123.6,128.1,340,4.5,1,0.061111111,2.86
Alto de Pomba,volta ao algarva em bicicleta,2,2017,167.3,170.8,510,3.5,1,0.076,3.63
Alto de Foia,volta ao algarva em bicicleta,2,2017,180.9,189.3,900,8.4,1,0.064285714,6.38
Monte da Casinha,volta ao algarva em bicicleta,5,2017,85.2,91.2,420,6,1,0.0435,1.87
Vermelhos,volta ao algarva em bicicleta,5,2017,155,158.5,490,3.5,1,0.053714286,2.02
Alto de Malhao,volta ao algarva em bicicleta,5,2017,176.9,179.2,518,2.3,2,0.095652174,3.70
Alto de Malhao,volta ao algarva em bicicleta,5,2017,135.4,137.7,515,2.3,1,0.095652174,3.70
Jebel Hafeet,abu dhabi tour,5,2018,188.1,199,1025,10.9,1,0.067889908,8.78
Jebel Hafeet,abu dhabi tour,3,2017,175.1,186,1025,10.9,1,0.067889908,8.78
