race,year,over_2nd,over_3rd,over_5th
Giro d'Italia,2013,283,352,448
Giro d'Italia,2014,178,244,392
Giro d'Italia,2015,113,185,592
Giro d'Italia,2016,52,77,277
Giro d'Italia,2017,31,40,116
Giro d'Italia,2018,46,297,483
Giro d'Italia,2019,65,150,343
Tour de France,2013,260,304,447
Tour de France,2014,457,495,684
Tour de France,2015,72,325,588
Tour de France,2016,245,261,317
Tour de France,2017,54,140,185
Tour de France,2018,111,144,368
Vuelta a Espana,2013,37,96,431
Vuelta a Espana,2014,70,110,288
Vuelta a Espana,2015,57,69,190
Vuelta a Espana,2016,83,248,463
Vuelta a Espana,2017,135,171,198
Vuelta ciclista a Espana,2018,106,124,268
Tour de France,2012,201,379,664
Tour de France,2011,94,150,295
Giro d'Italia,2012,16,99,224
Giro d'Italia,2011,370,416,604
Tour de France,2010,39,161,375
Tour de France,2009,251,324,364
Giro d'Italia,2010,111,157,207
Giro d'Italia,2009,41,119,239
Vuelta a Espana,2012,76,97,689
Vuelta a Espana,2011,13,99,228
Vuelta a Espana,2010,41,182,283
Vuelta a Espana,2009,55,92,247
Vuelta a Espana,2008,46,252,360
Vuelta a Espana,2007,211,226,394
Vuelta a Espana,2006,72,192,411
Tour de France,2008,58,73,185
Tour de France,2007,23,31,497
Tour de France,2006,57,129,251
Giro d'Italia,2008,117,174,217
Giro d'Italia,2007,115,145,229
Giro d'Italia,2006,558,719,1162
