class,rnk,my_points
A,1,25
A,2,15
A,3,12
A,4,10
A,5,8
A,6,6
A,7,5
A,8,4
A,9,3
A,10,2
A,11,1
A,12,1
A,13,1
A,14,1
A,15,1
B,1,20
B,2,12
B,3,10
B,4,8
B,5,6
B,6,5
B,7,4
B,8,3
B,9,2
B,10,1
B,11,1
B,12,1
B,13,0
B,14,0
B,15,0
C,1,12
C,2,10
C,3,8
C,4,6
C,5,5
C,6,4
C,7,3
C,8,2
C,9,1
C,10,1
C,11,0
C,12,0
C,13,0
C,14,0
C,15,0
D,1,10
D,2,8
D,3,6
D,4,5
D,5,4
D,6,3
D,7,2
D,8,1
D,9,0
D,10,0
D,11,0
D,12,0
D,13,0
D,14,0
D,15,0
E,1,8
E,2,5
E,3,3
E,4,2
E,5,1
E,6,0
E,7,0
E,8,0
E,9,0
E,10,0
E,11,0
E,12,0
E,13,0
E,14,0
E,15,0
