NAME,HIGH,LOW,Bet365,Betway
Jakob Fuglsang,4.5,3.75,3.75,4.5
Dylan Teuns,6.5,6.5,6.5,6.5
Jack Haig,8.5,7.5,7.5,8.5
Pello Bilbao,10,9,9,10
Mikel Landa,12,11,11,12
Brandon Mc Nulty,17,17,17,17
Enric Mas Nicolau,19,17,17,19
Marc Soler,19,17,19,17
Jon Izagirre,21,21,21,21
Damiano Caruso,29,23,29,23
Matej Mohoric,29,23,29,23
Tomasz Marczynski,41,34,41,34
Maurits Lammertink,41,41,41,41
Valerio Conti,41,41,41,41
Silvan Dillier,51,41,51,41
Antwan Tolhoek,67,34,67,34
Mark Padun,81,41,81,41
Jan Bakelants,81,51,81,51
Andrey Zeits,81,67,81,67
Chris Harper,81,67,81,67
David De La Cruz,81,67,81,67
Floris De Tier,81,67,67,81
Mikel Bizkarra,81,67,81,67
Rubén Fernández,81,67,81,67
Mikel Nieve,81,81,81,81
Julien Simon,101,67,101,67
Simone Velasco,101,67,101,67
Harm Vanhoucke,101,81,101,81
Sonny Colbrelli,101,81,101,81
Oliver Naesen,101,101,101,101
Alexis Gougeard,126,81,126,81
Gonzalo Serrano,126,101,101,126
Sander Armée,126,101,126,101
Jelle Vanendert,126,126,126,126
Clément Venturini,151,101,151,101
Juan José Lobato,151,101,151,101
Loïc Vliegen,151,101,151,101
Orluis Aular,151,126,151,126
Petr Vakoc,151,126,151,126
Stefano Oldani,151,126,151,126
Mikel Iturria,201,126,201,126
Louis Vervaeke,201,151,201,151
Antonio Pedrero,201,201,201,201
Juan Felipe Osorio,201,126,201,126
