Jakob Fuglsang,4,4
Jon Izagirre,4.5,4.5
Marc Soler,7,7
Jack Haig,9,9
Dylan Teuns,12,12
Brandon Mc Nulty,15,15
Enric Mas Nicolau,15,15
Mikel Landa,15,15
Pello Bilbao,15,15
Damiano Caruso,26,26
David De La Cruz,26,26
Matej Mohoric,41,41
Antwan Tolhoek,67,67
Brent Bookwalter,67,67
Rubén Fernández,67,67
Valerio Conti,67,67
Chris Harper,81,81
Floris De Tier,101,101
Andrey Zeits,151,151
Loïc Vliegen,151,151
Mark Padun,151,151
Mikel Nieve,151,151
Nelson Oliveira,151,151
Nikita Stalnov,151,151
Oliver Naesen,151,151
Sander Armée,151,151
Antonio Pedrero,201,201
Harm Vanhoucke,201,201
Rasmus Quaade,201,201
Vadim Pronskiy,201,201
Élie Gesbert,251,251
Eliot Lietaer,251,251
Evgeny Shalunov,251,251
Jelle Vanendert,251,251
Alexis Gougeard,301,301
Jan Bakelants,301,301
Jefferson Alveiro Cepeda,301,301
Matthew Holmes,301,301
Mikel Bizkarra,301,301
Tomasz Marczynski,301,301
Louis Vervaeke,401,401
Vegard Stake Laengen,401,401
Alessandro Covi,501,501
Alex Molenaar,501,501
Artem Nych,501,501
Daniil Fominykh,501,501
Dries Van Gestel,501,501
Edward Ravasi,501,501
Hugo Houle,501,501
Kobe Goossens,501,501
Lennard Hofstede,501,501
Maurits Lammertink,501,501
Petr Vakoc,501,501
Romain Sicard,501,501
Simone Velasco,501,501
Stefano Oldani,501,501
Thomas Sprengers,501,501
Ángel Madrazo,601,601
Óscar Cabedo Cardá,601,601
Aleksey Rybalkin,601,601
Julien Simon,601,601
Marco Canola,601,601
