Alejandro Valverde,3.75,3.75
Matteo Trentin,4.5,4.5
Pascal Ackermann,8.5,8.5
Luis León Sánchez,10,10
Omar Fraile,15,15
Patrick-Beven,19,19
Felix Grossschartner,26,26
Rubén Fernández,26,26
Sergey Chernetskiy,26,26
Jp-Drucker,29,29
Antonio-Pedrero-,41,41
Lennard Kämna,41,41
Loïc Vliegen,41,41
Thomas Boudat,41,41
Thomas Sprengers,41,41
Vicente-Garc-A-De-Mateos,41,41
Xandro Meurisse,41,41
Aim--De-Gendt,51,51
Amaury Capiot,51,51
H-Ctor-Carretero,51,51
Jan Bakelants,51,51
R-Diger-Selig,51,51
Simone Petilli,51,51
Óscar Rodríguez,67,67
-Ngel-Madrazo,67,67
Adam De Vos,67,67
Aksel-N-Mmela,67,67
Damiano Cima,67,67
Jetse Bol,67,67
Jhojan-Garcia,67,67
Nelson Oliveira,67,67
Sondre Holst Enger,67,67
Arjen Livyns,81,81
Dimitri Peyskens,81,81
Emiel-Planckaert,81,81
Jonathan Klever Caicedo,81,81
Kamil-Ma-Ecki,81,81
Tom Wirtgen,81,81
Yevgeniy Gidich,81,81
Albert-Torres,101,101
Cl-Ment-Russo,101,101
Diego Rubio,101,101
Laurens-Huys,101,101
Laurent Pichon,101,101
Lukas Pöstlberger,101,101
Nathan Van Hooydonck,101,101
Nick Van Der Lijke,101,101
Nikita Stalnov,101,101
Guillaume Van Keirsbulck,151,151
Héctor Sáez,151,151
Maurits Lammertink,151,151
Peio-Goikoetxea,151,151
Tyler-Magner,151,151
