Mathieu Van Der Poel,4.33,4.33
Zdenek Stybar,6.5,6.5
Greg Van Avermaet,8.5,8.5
Jasper Stuyven,11,11
Bob Jungels,13,13
Dylan Teuns,15,15
Yves Lampaert,17,17
Kasper Asgreen,19,19
Philippe Gilbert,19,19
Oliver Naesen,23,23
Tim Wellens,23,23
Matteo Trentin,26,26
Alexander Kristoff,29,29
Dylan Van Baarle,29,29
Sep Vanmarcke,29,29
Michael Valgren,34,34
Niki Terpstra,34,34
Sonny Colbrelli,34,34
Mads Pedersen,41,41
Tiesj Benoot,41,41
Danny Van Poppel,51,51
Edvald Boasson Hagen,51,51
Edward Theuns,51,51
Florian Senechal,51,51
Gianni Moscon,51,51
Jens Keukeleire,51,51
Mike Teunissen,51,51
Nils Politt,51,51
Jelle Wallays,67,67
Jempy Drucker,67,67
Luke Rowe,67,67
Owain Doull,67,67
Adrien Petit,81,81
Amund Grøndahl Jansen,81,81
Ben Swift,81,81
Fabio Felline,81,81
Petr Vakoc,81,81
Stefan Küng,81,81
Ian Stannard,101,101
Tom Van Asbroeck,101,101
Silvan Dillier,126,126
Alexis Gougeard,151,151
Amaury Capiot,151,151
Nico Denz,151,151
Sean De Bie,201,201
