NAME,HIGH,LOW,Bet365,Unibet
Sam Bennett,4,3.75,4,3.75
Caleb Ewan,5.5,4,5.5,4
Pascal Ackermann,6,5,5,6
Elia Viviani,13,9,13,9
Cees Bol,15,8,8,15
Peter Sagan,15,12,15,12
Giacomo Nizzolo,15,15,15,15
Nacer Bouhanni,41,29,41,29
Michael Matthews,41,34,41,34
Jasper Stuyven,51,29,51,29
John Degenkolb,51,34,34,51
Iván García Cortina,51,41,51,41
Kasper Asgreen,51,41,51,41
Maximilian Walscheid,51,41,41,51
Niccolò Bonifazio,51,51,51,51
Yves Lampaert,51,51,51,
Rudy Barbier,67,41,41,67
Zdenek Stybar,67,41,67,41
Julian Alaphilippe,67,51,67,51
Bryan Coquard,67,67,67,67
Philippe Gilbert,81,41,41,81
"Lampaert,Yves",81,81,,81
Bob Jungels,101,51,51,101
Edward Theuns,101,51,51,101
Maximilian Schachmann,101,67,67,101
Marc Sarreau,126,67,126,67
Nils Politt,126,81,126,81
Tiesj Benoot,126,81,81,126
Søren Kragh Andersen,126,101,126,101
Oliver Naesen,151,81,151,81
Hugo Hofstetter,151,101,101,151
Michael Mørkøv,151,126,126,151
Nikias Arndt,151,126,126,151
Victor Campenaerts,151,126,151,126
Heinrich Haussler,151,151,151,151
Dylan Teuns,201,151,201,151
Jens Debusschere,201,201,201,201
Alberto Bettiol,251,151,251,151
Jasper De Buyst,251,151,151,251
Adrien Petit,251,201,251,201
Stefan Küng,251,201,251,201
Tom Van Asbroeck,251,201,251,201
Kevin Reza,251,251,,251
Pierre Barbier,251,251,251,
Piet Allegaert,251,251,251,
Andrea Pasqualon,301,81,301,81
Jempy Drucker,301,126,301,126
Mads Pedersen,301,151,151,301
Sep Vanmarcke,301,151,301,151
Daniel Mc Lay,301,201,301,201
Niki Terpstra,301,201,301,201
Benoît Cosnefroy,301,251,301,251
Sergio Higuita,301,301,301,301
Xandro Meurisse,301,301,,301
Michael Valgren,401,201,401,201
Thomas De Gendt,401,201,401,201
Boy Van Poppel,401,301,401,301
Roger Kluge,401,301,401,301
Lilian Calmejane,401,401,,401
Rudy Molard,401,401,401,401
Vincenzo Nibali,401,401,,401
Mads Würtz Schmidt,501,201,201,501
Ryan Gibbons,501,201,501,201
Alex Kirsch,501,301,501,301
Anthony Turgis,501,401,501,401
Patrick Konrad,501,401,401,501
Aimé De Gendt,501,501,,501
Alexis Gougeard,501,501,501,
Cyril Lemoine,501,501,501,
Frederik Frison,501,501,,501
Michael Woods,501,501,,501
Romain Bardet,501,501,,501
Thibaut Pinot,501,501,501,501
Tim De Clerq,501,501,501,
Tom Devriendt,501,501,501,
Jonathan Hivert,601,201,601,201
Jenthe Biermans,601,301,601,301
Pello Bilbao,601,301,601,301
Krists Neilands,601,401,601,401
Nairo Quintana Rojas,601,401,401,601
Nils Eekhoff,601,401,601,401
Connor Swift,601,501,501,601
Felix Grossschartner,601,501,601,501
Cyril Barthe,601,601,601,
Damien Touzé,601,601,601,
Jan Tratnik,601,601,601,
Michael Schwarzmann,601,601,601,
Olivier Le Gac,601,601,601,
Quentin Pacher,601,601,,601
Richie Porte,601,601,,601
Tanel Kangert,601,601,,601
Tejay Van Garderen,601,601,,601
Tobias Ludvigsson,601,601,,601
Evaldas Šiškevicius,751,751,751,
Julien Simon,751,751,751,
Ramunas Navardauskas,751,751,751,
