RIDER,HIGH,LOW,BET365,BWIN,INTERTOPS,UNIBET
Mark Cavendish,4501,1001,4501,,,1001
André Greipel,4501,4501,4501,,,
Dylan Groenewegen,4501,4501,4501,,,
Iván García Cortina,4501,4501,4501,,,
Carlos Rodriguez,2501,2501,2501,,,
Michael Valgren,2501,2501,2501,,,
Wout Van Aert,1501,301,1501,301,1001,1001
Jesús Herrada,1501,801,1501,,,801
Patrick Konrad,1501,801,1501,,1001,801
Peter Sagan,1501,1001,1501,,1501,1001
Roman Kreuziger,1501,1001,1501,,1501,1001
Valentin Madouas,1501,1001,1501,,,1001
Eddie Dunbar,1501,1501,1501,,,1501
Lawson Craddock,1501,1501,1501,,,
Mikel Nieve,1501,1501,1501,,1501,1501
Kasper Asgreen,1001,301,1001,301,1001,601
Maximilian Schachmann,1001,301,1001,301,751,601
Carlos Betancur,1001,501,1001,501,751,601
Giulio Ciccone,1001,501,1001,501,1001,801
Tiesj Benoot,1001,501,1001,501,,1001
Joe Dombrowski,1001,601,1001,,751,601
Fausto Masnada,1001,801,1001,,,801
Ben O'connor,1001,1001,1001,,,1001
Felix Grossschartner,1001,1001,1001,,,1001
Marc Hirschi,1001,1001,1001,,,1001
Tao Geoghegan Hart,751,401,751,,501,401
Davide Formolo,751,501,751,,501,501
Hugh John Carthy,751,501,751,,501,501
Michael Woods,751,501,751,501,501,501
Jack Haig,751,601,751,,751,601
Damiano Caruso,801,501,751,501,751,801
Lucas Hamilton,801,751,751,,751,801
Domenico Pozzovivo,601,501,601,,501,501
Guillaume Martin,601,501,601,,501,601
Jon Izagirre,601,501,601,,501,501
Louis Meintjes,601,501,601,501,501,601
Michal Kwiatkowski,601,501,601,,501,501
Tejay Van Garderen,601,501,601,,501,501
Alexey Lutsenko,801,501,601,,501,801
George Bennett,501,301,501,,301,401
Rohan Dennis,501,401,501,,401,401
Rafal Majka,401,201,401,,301,201
Wilco Kelderman,401,201,401,301,301,201
Ilnur Zakarin,401,301,401,301,301,301
Sam Oomen,401,301,401,,301,301
Laurens De Plus,501,401,401,,401,501
Esteban Chaves,301,101,301,101,,201
Pavel Sivakov,301,101,301,101,251,301
Iván Ramiro Sosa,301,201,301,,251,201
Marc Soler,301,201,301,,251,201
Bob Jungels,301,251,301,301,251,251
Warren Barguil,401,251,301,,251,401
Lennard Kämna,501,301,301,,401,501
Pierre-Roger Latour,401,251,251,301,251,401
Romain Bardet,201,101,201,101,126,101
Wouter Poels,201,101,201,101,201,151
Daniel Felipe Martínez,251,201,201,,251,251
Daniel Martin,301,101,201,101,201,301
David Gaudu,301,201,201,301,301,251
Jakob Fuglsang,151,34,151,34,101,67
Vincenzo Nibali,151,51,151,67,51,81
Alejandro Valverde,151,101,151,101,151,151
Rigoberto Urán,151,101,151,101,101,151
Sergio Higuita,251,151,151,,251,201
Bauke Mollema,301,151,151,301,151,201
Remco Evenepoel,81,51,81,51,67,51
Fabio Aru,151,81,81,101,101,151
Enric Mas Nicolau,51,34,51,34,51,41
Adam Yates,67,51,51,67,67,51
Richard Carapaz,41,34,41,34,34,34
Simon Yates,51,34,41,34,34,51
Mikel Landa,34,21,34,21,34,29
Emanuel Buchmann,34,29,34,34,29,34
Steven Kruijswijk,41,34,34,41,34,34
Nairo Quintana Rojas,67,34,34,67,34,41
Miguel Ángel López,34,29,29,34,29,34
Richie Porte,67,26,26,67,29,26
Julian Alaphilippe,21,19,21,21,19,21
Tadej Pogacar,67,10,10,67,10,13
Tom Dumoulin,9,7,9,9,8,7
Chris Froome,8,6.5,8,8,7.5,6.5
Geraint Thomas,9,7.5,7.5,9,7.5,9
Thibaut Pinot,8,7,7,8,7,7.5
Primož Roglic,6,5.25,5.25,5.5,6,5.5
Egan Bernal,3.5,3.25,3.25,3.5,3.25,3.25
Aleksandr Vlasov,201,201,,,,201
Mathieu Van Der Poel,251,251,,,251,251
David De La Cruz,501,501,,,501,501
Jan Hirt,601,501,,,501,601
Sébastien Reichenbach,601,501,,,501,601
Xandro Meurisse,601,501,,,501,601
Élie Gesbert,801,801,,,,801
Ben Hermans,801,801,,,,801
David López Garcia,801,801,,,,801
Leopold König,801,801,,,,801
Lilian Calmejane,801,801,,,,801
Mathias Frank,801,801,,,,801
Robert Gesink,801,801,,,,801
Tanel Kangert,801,801,,,,801
Andrey Amador,1001,1001,,,,1001
Antwan Tolhoek,1001,1001,,,,1001
Daniel Navarro,1001,1001,,,,1001
Eduardo Sepúlveda,1001,1001,,,,1001
Nicolas Edet,1001,1001,,,,1001
Pello Bilbao,1001,1001,,,,1001
Pierre Rolland,1001,1001,,,,1001
Rein Taaramäe,1001,1001,,,,1001
Serge Pauwels,1001,1001,,,,1001
Sergio Henao,1001,1001,,,,1001
Thomas De Gendt,1001,1001,,,,1001
Gianluca Brambilla,1501,1501,,,,1501
Greg Van Avermaet,1501,1501,,,,1501
Tim Wellens,1501,1501,,,,1501
Tony Gallopin,1501,1501,,,,1501
Tony Martin,1501,1501,,,,1501
Any Other,4,4,,4,,
