master_team,year,color_code,r,g,b,secondary,r1,g1,b1
Sky,2022,#04162E,4,22,46,#CB0C0C,203,12,12
Cofidis,2022,#FF2E27,255,46,39,#540A13,84,10,19
Jumbo Visma,2022,#FFCC00,255,204,0,#141414,20,20,20
FDJ,2022,#003890,0,56,144,#EE1A1E,238,26,30
Lotto Soudal,2022,#D21F25,210,31,37,#1E1E1E,30,30,30
Bahrain McLaren,2022,#E26329,226,99,41,#CB162A,203,22,42
Trek,2022,#FFFFFF,255,255,255,#ED1B2E,237,27,46
Wanty Gobert,2022,#E1EA00,225,234,0,#142A40,20,42,64
Movistar,2022,#058CBE,5,140,190,#162844,22,40,68
EF Education First,2022,#DD287A,221,40,122,#672D50,103,45,80
Quick Step,2022,#00539F,0,83,159,#062954,6,41,84
Astana,2022,#13B9D1,19,185,209,#0A708A,10,112,138
Mitchelton Scott,2022,#00368F,0,54,143,#083A8F,8,58,143
BORA,2022,#155E61,21,94,97,#45B9B2,69,185,178
UAE Team,2022,#AB171D,171,23,29,#8EBCB6,142,188,182
Sunweb,2022,#1B1B1B,27,27,27,#66C9F3,102,201,243
Israel Startup Nation,2022,#4A75B4,74,117,180,#FFFFFF,255,255,255
AG2R,2022,#391A0A,57,26,10,#FFFFFF,255,255,255
Burgos,2022,#633984,99,57,132,NA,NA,NA,NA
Bardiani,2022,#9B3879,155,56,121,NA,NA,NA,NA
Arkea Samsic,2022,#6F2A2D,111,42,45,NA,NA,NA,NA
Direct Energie,2022,#BFE271,191,226,113,NA,NA,NA,NA
Eolo Kometa,2022,#0C6FC1,12,111,193,NA,NA,NA,NA
Uno X Norway,2022,#FEBC00,254,188,0,NA,NA,NA,NA
Alpecin Fenix,2022,#282C43,40,44,67,NA,NA,NA,NA
Kern Pharma,2022,#008C9A,0,140,154,NA,NA,NA,NA
Euskaltel - Euskadi,2022,#FF6400,255,100,0,NA,NA,NA,NA
Caja Rural,2022,#007556,0,117,86,NA,NA,NA,NA
yellow_jersey,2022,#DFBB00,223,187,0,NA,NA,NA,NA
